magnetic field [G]	Energies [Ghz]
0e0	-4.473331250000004e-1	-1.9331912500000012e-1	-1.93319125e-1	1.4385874999999961e-2	1.438587500000001e-2	2.68399875e-1	2.68399875e-1	2.683998750000001e-1
6.006006006006006e-1	-4.481769663315136e-1	-1.9331819125658428e-1	-1.9248003939359956e-1	1.4384941219572196e-2	1.5223709192696444e-2	2.692420214855109e-1	2.692432728830452e-1	2.6924371629450106e-1
1.2012012012012012e0	-4.490272222735006e-1	-1.9331540918646942e-1	-1.9164401460543712e-1	1.4382159112444955e-2	1.605598006059821e-2	2.700872287892599e-1	2.7009223409088495e-1	2.700939721994758e-1
1.8018018018018018e0	-4.4988383911471497e-1	-1.9331080749469062e-1	-1.9081105045290533e-1	1.4377557383654148e-2	1.6882688700127064e-2	2.709354967286397e-1	2.7094675752709757e-1	2.7095058900367863e-1
2.4024024024024024e0	-4.507467633276353e-1	-1.9330441475228174e-1	-1.8998114663170054e-1	1.437116460423293e-2	1.7703836937852144e-2	2.7178682499934637e-1	2.718068413651143e-1	2.7181351317958663e-1
3.003003003003003e0	-4.516159415797305e-1	-1.93296259386972e-1	-1.8915430271588143e-1	1.4363009201910923e-2	1.8519427329291623e-2	2.726412131754384e-1	2.7267248304941655e-1	2.7268269139466916e-1
3.6036036036036037e0	-4.5249132074430076e-1	-1.9328636967427998e-1	-1.8833051815795418e-1	1.4353119452206761e-2	1.932946315723652e-2	2.734986607094228e-1	2.7354367929721324e-1	2.7355807052222736e-1
4.2042042042042045e0	-4.5337284791088095e-1	-1.9327477372899451e-1	-1.875097922889816e-1	1.4341523469909315e-2	2.0133948429600746e-2	2.743591669323616e-1	2.744204261005909e-1	2.744395976517956e-1
4.804804804804805e0	-4.542604703952217e-1	-1.9326149949703894e-1	-1.8669212431871654e-1	1.4328249200941555e-2	2.093288787679951e-2	2.752227310540081e-1	2.753027187291337e-1	2.7532722009912425e-1
5.405405405405405e0	-4.551541357488501e-1	-1.9324657474771167e-1	-1.858775133357571e-1	1.431332441460188e-2	2.1726286948660828e-2	2.7608935216295954e-1	2.761905517330136e-1	2.762208854157398e-1
6.006006006006006e0	-4.560537917682175e-1	-1.932300270662987e-1	-1.8506595830772846e-1	1.4296776696176733e-2	2.2514151810874506e-2	2.769590292268427e-1	2.7708391894654166e-1	2.7712054139809544e-1
6.606606606606607e0	-4.569593865034455e-1	-1.9321188384705204e-1	-1.8425745808148755e-1	1.427863343991787e-2	2.329648934098448e-2	2.7783176109251306e-1	2.7798281349217324e-1	2.7802613609631127e-1
7.207207207207207e0	-4.578708682666673e-1	-1.93192172286524e-1	-1.8345201138335143e-1	1.4258921842377778e-2	2.407330712392935e-2	2.7870754648628854e-1	2.7888722778497027e-1	2.789376178225213e-1
7.807807807807808e0	-4.5878818563998175e-1	-1.9317091937725508e-1	-1.826496168193496e-1	1.4237668896096421e-2	2.4844613447139053e-2	2.795863840141979e-1	2.797971535375022e-1	2.7985493515882354e-1
8.408408408408409e0	-4.597112874830191e-1	-1.9314815190180334e-1	-1.8185027287549807e-1	1.4214901383632718e-2	2.5610417295194927e-2	2.80468272162258e-1	2.8071258176518804e-1	2.807780369648487e-1
9.00900900900901e0	-4.606401229401339e-1	-1.9312389642711497e-1	-1.8105397791810074e-1	1.4190645871932011e-2	2.6370728344060124e-2	2.8135320929677204e-1	2.816335027920643e-1	2.8170687238495146e-1
9.60960960960961e0	-4.615746414472278e-1	-1.9309817929921996e-1	-1.8026073019406988e-1	1.4164928707024935e-2	2.7125556954890072e-2	2.822411936646525e-1	2.82559906256976e-1	2.826413908550328e-1
1.021021021021021e1	-4.625147927382071e-1	-1.9307102663825335e-1	-1.7947052783127246e-1	1.4137776009046072e-2	2.7874914167431077e-2	2.831322233937667e-1	2.8349178112017664e-1	2.835815421089999e-1
1.081081081081081e1	-4.6346052685109307e-1	-1.9304246433378938e-1	-1.7868336883889807e-1	1.4109213667569676e-2	2.861881169301802e-2	2.84026296493303e-1	2.84429115670331e-1	2.845272761848733e-1
1.1411411411411411e1	-4.6441179413378386e-1	-1.9301251804048195e-1	-1.778992511078493e-1	1.4079267337250203e-2	2.9357261907180583e-2	2.849234108541659e-1	2.853718975319102e-1	2.854785434305519e-1
1.2012012012012011e1	-4.6536854524948085e-1	-1.929812131740067e-1	-1.7711817241115801e-1	1.404796243376289e-2	3.009027784186748e-2	2.8582356424938604e-1	2.8632011367296517e-1	2.8643529450923677e-1
1.2612612612612613e1	-4.663307311817834e-1	-1.929485749072912e-1	-1.7634013040441932e-1	1.4015324130035138e-2	3.0817873177303508e-2	2.86726754334559e-1	2.8727375041327047e-1	2.8739748040452745e-1
1.3213213213213214e1	-4.6729830323946814e-1	-1.9291462816702948e-1	-1.7556512262625e-1	1.3981377352761198e-2	3.154006223348664e-2	2.876329786483011e-1	2.882327934328289e-1	2.8836505242519955e-1
1.3813813813813814e1	-4.682712130609504e-1	-1.9287939763047315e-1	-1.7479314649877134e-1	1.3946146779192613e-2	3.225685996134058e-2	2.8854223461273415e-1	2.8919722778071694e-1	2.8933796220967023e-1
1.4414414414414415e1	-4.692494126184489e-1	-1.9284290772248783e-1	-1.7402419932810836e-1	1.3909656834194909e-2	3.296828193353276e-2	2.8945451953398177e-1	2.9016703788426623e-1	2.9031616173015584e-1
1.5015015015015015e1	-4.702328542218462e-1	-1.9280518261287008e-1	-1.7325827830491464e-1	1.3871931687565201e-2	3.3674344334972815e-2	2.903698306027003e-1	2.9114220755856757e-1	2.912996032965412e-1
