magnetic_field	energies
0e0	-1.9872122306349964e0	-1.562164977136137e0	-1.3979297499999992e0	-1.0609326576402207e0	-9.362107499999995e-1	-5.721056576608687e-1	-1.2577728971496052e-1	-1.2375975000000008e-1	3.0375431278718024e-1	3.379592499999998e-1
6.006006006006006e-1	-1.9876419986326106e0	-1.5625475866157204e0	-1.3976479768417407e0	-1.0595640901156471e0	-9.353681686180869e-1	-5.729715266934018e-1	-1.253458277334108e-1	-1.2340028071545389e-1	3.0466858880448233e-1	3.388018313847649e-1
1.2012012012012012e0	-1.9880754056775884e0	-1.5629354638322903e0	-1.3973631248095393e0	-1.0581936203274325e0	-9.345216661379565e-1	-5.738420082293183e-1	-1.2507370670927107e-1	-1.2288462471055905e-1	3.055867149730516e-1	3.396483339072458e-1
1.8018018018018018e0	-1.9885124561833014e0	-1.563328485520998e0	-1.3970752785500202e0	-1.056821268181105e0	-9.33671256891871e-1	-5.747170755989922e-1	-1.2491688976497359e-1	-1.2225681628100911e-1	3.065086763069649e-1	3.4049874333481905e-1
2.4024024024024024e0	-1.9889531545067267e0	-1.5637265294276996e0	-1.3967845220535267e0	-1.0554470532830516e0	-9.328169552138167e-1	-5.755967021973792e-1	-1.2482566229007912e-1	-1.2156656733328138e-1	3.074344577023331e-1	3.413530454959125e-1
3.003003003003003e0	-1.9893975049469874e0	-1.5641294743532625e0	-1.3964909386056064e0	-1.0540709949461142e0	-9.319587754395721e-1	-5.764808614860601e-1	-1.2476998887576503e-1	-1.2084391045055116e-1	3.0836404394291317e-1	3.4221122627686135e-1
3.6036036036036037e0	-1.9898455117438594e0	-1.5645372001947468e0	-1.3961946107417829e0	-1.052693112195078e0	-9.310967319067671e-1	-5.773695269952326e-1	-1.247344221540317e-1	-1.2010429005392698e-1	3.0929741970559754e-1	3.43073271618858e-1
4.2042042042042045e0	-1.9902971790763337e0	-1.564949587983502e0	-1.395895620205533e0	-1.0513134237720483e0	-9.30230838954913e-1	-5.782626723256509e-1	-1.2471096326866286e-1	-1.1935570193194277e-1	3.102345695657985e-1	3.439391675149873e-1
4.804804804804805e0	-1.9907525110611226e0	-1.565366519920316e0	-1.3955940479093305e0	-1.0499319481417226e0	-9.293611109254143e-1	-5.791602711505198e-1	-1.2469524004161263e-1	-1.1860251507465419e-1	3.11175478002716e-1	3.448089000073505e-1
5.405405405405405e0	-1.9912115117512283e0	-1.5657878794076818e0	-1.3952899738987057e0	-1.048548703496555e0	-9.284875621615565e-1	-5.800622972173416e-1	-1.246847143165075e-1	-1.1784726433064101e-1	3.1212012940449063e-1	3.45682455184269e-1
6.006006006006006e0	-1.991674185134465e0	-1.5662135510792778e0	-1.3949834773192011e0	-1.0471637077618126e0	-9.276102070084774e-1	-5.809687243497106e-1	-1.2467782952601529e-1	-1.1709150284016732e-1	3.130685080732571e-1	3.465598191775871e-1
6.606606606606607e0	-1.9921405351320538e0	-1.5666434208267983e0	-1.3946746363860927e0	-1.045776978600536e0	-9.267290598131142e-1	-5.818795264490677e-1	-1.2467358479122759e-1	-1.1633622793634527e-1	3.1402059823006884e-1	3.4744097816004976e-1
7.207207207207207e0	-1.9926105655971422e0	-1.5670773758241707e0	-1.394363528356852e0	-1.044388533418395e0	-9.25844134924131e-1	-5.827946774963912e-1	-1.2467131008311118e-1	-1.1558210598426323e-1	3.1497638401973604e-1	3.483259183427715e-1
7.807807807807808e0	-1.9930842803134157e0	-1.5675153045493375e0	-1.394050229506123e0	-1.042998389368445e0	-9.249554466918298e-1	-5.837141515538669e-1	-1.2467054121034957e-1	-1.1482959739373122e-1	3.1593584951553827e-1	3.4921462597278635e-1
8.408408408408409e0	-1.9935616829936649e0	-1.567957096803621e0	-1.3937348151032676e0	-1.0416065633557952e0	-9.240630094680372e-1	-5.84637922766484e-1	-1.2467094700941007e-1	-1.1407902942984118e-1	3.16898978723837e-1	3.501070873306845e-1
9.00900900900901e0	-1.9940427772783704e0	-1.568402643728846e0	-1.3934173593922188e0	-1.0402130720421727e0	-9.231668376059816e-1	-5.855659653636046e-1	-1.246722851698158e-1	-1.1333064038832943e-1	3.1786575558858166e-1	3.510032887283282e-1
9.60960960960961e0	-1.9945275667343068e0	-1.5688518378222698e0	-1.393097935573643e0	-1.0388179318504032e0	-9.22266945460137e-1	-5.864982536604795e-1	-1.2467437445499127e-1	-1.1258460737539527e-1	3.188361639957095e-1	3.5190321650665524e-1
1.021021021021021e1	-1.9950160548531433e0	-1.5693045729494293e0	-1.392776615789287e0	-1.037421158968797e0	-9.21363347386064e-1	-5.874347620597202e-1	-1.2467707667486715e-1	-1.1184106433577908e-1	3.1981018777744186e-1	3.528068570335563e-1
1.081081081081081e1	-1.995508245050087e0	-1.5697607443550525e0	-1.392453471108357e0	-1.0360227693554427e0	-9.204560577402255e-1	-5.883754650527232e-1	-1.2468028465769557e-1	-1.1110011408165352e-1	3.207878107164795e-1	3.5371419670183807e-1
1.1411411411411411e1	-1.9960041406624893e0	-1.5702202486720234e0	-1.3921285715159293e0	-1.0346227787424198e0	-9.195450908797858e-1	-5.893203372210627e-1	-1.2468391402484943e-1	-1.1036183651854733e-1	3.217690165500949e-1	3.5462522192726476e-1
1.2012012012012011e1	-1.9965037449485052e0	-1.5706829839286196e0	-1.3918019859031867e0	-1.0332212026399294e0	-9.186304611623953e-1	-5.902693532378185e-1	-1.2468789744165881e-1	-1.0962629439525826e-1	3.227537889741225e-1	3.555399191466761e-1
