magnetic_field	energies
0e0	-5.771487500000002e-1	-1.1542975000000015e-1	-1.1542975000000005e-1	3.462892499999998e-1	3.462892500000001e-1
6.006006006006006e-1	-5.779916575450791e-1	-1.1542975000000004e-1	-1.1459066438374084e-1	3.471313964953265e-1	3.4713215754507903e-1
1.2012012012012012e0	-5.788391313738673e-1	-1.1542975000000015e-1	-1.1375463958567582e-1	3.4797660380884715e-1	3.4797963137386767e-1
1.8018018018018018e0	-5.796911464801567e-1	-1.1542975000000011e-1	-1.1292167542319821e-1	3.4882487175795535e-1	3.488316464801565e-1
2.4024024024024024e0	-5.80547677907456e-1	-1.1542975000000008e-1	-1.120917715920042e-1	3.4967620003834676e-1	3.496881779074561e-1
3.003003003003003e0	-5.81408700750967e-1	-1.1542975000000008e-1	-1.1126492766615195e-1	3.5053058822408045e-1	3.5054920075096674e-1
3.6036036036036037e0	-5.82274190159508e-1	-1.154297500000002e-1	-1.1044114309814843e-1	3.513880357676624e-1	3.514146901595082e-1
4.2042042042042045e0	-5.831441213374043e-1	-1.1542975000000015e-1	-1.0962041721905642e-1	3.522485420001561e-1	3.52284621337404e-1
4.804804804804805e0	-5.840184695463283e-1	-1.1542975000000004e-1	-1.08802749238628e-1	3.531121061313132e-1	3.5315896954632847e-1
5.405405405405405e0	-5.848972101071072e-1	-1.1542975000000001e-1	-1.079881382454618e-1	3.539787272497328e-1	3.540377101071072e-1
6.006006006006006e0	-5.857803184014796e-1	-1.1542974999999997e-1	-1.0717658320718321e-1	3.548484043230398e-1	3.549208184014797e-1
6.606606606606607e0	-5.866677698738189e-1	-1.1542975000000004e-1	-1.0636808297064919e-1	3.5572113619809137e-1	3.558082698738193e-1
7.207207207207207e0	-5.875595400328116e-1	-1.1542975000000004e-1	-1.0556263626217675e-1	3.565969216012047e-1	3.5670004003281175e-1
7.807807807807808e0	-5.884556044530959e-1	-1.154297500000002e-1	-1.047602416877947e-1	3.57475759138408e-1	3.575961044530961e-1
8.408408408408409e0	-5.893559387768625e-1	-1.1542975e-1	-1.039608977335202e-1	3.583576472957195e-1	3.5849643877686266e-1
9.00900900900901e0	-5.902605187154124e-1	-1.154297499999999e-1	-1.0316460276565675e-1	3.592425844394416e-1	3.5940101871541236e-1
9.60960960960961e0	-5.911693200506766e-1	-1.1542975e-1	-1.0237135503111668e-1	3.6013056881648703e-1	3.603098200506766e-1
1.021021021021021e1	-5.920823186366975e-1	-1.1542974999999997e-1	-1.0158115265776689e-1	3.610215985547231e-1	3.612228186366973e-1
1.081081081081081e1	-5.929994904010716e-1	-1.154297500000002e-1	-1.0079399365479676e-1	3.619156716633384e-1	3.6213999040107137e-1
1.1411411411411411e1	-5.939208113463516e-1	-1.1542974999999997e-1	-1.0000987591310984e-1	3.6281278603323736e-1	3.6306131134635145e-1
1.2012012012012011e1	-5.948462575514144e-1	-1.154297499999999e-1	-9.92287972057373e-2	3.6371293943745053e-1	3.6398675755141413e-1
1.2612612612612613e1	-5.957758051727876e-1	-1.1542974999999997e-1	-9.84507551882745e-2	3.6461612953157324e-1	3.6491630517278756e-1
1.3213213213213214e1	-5.967094304459416e-1	-1.1542974999999982e-1	-9.767574739933875e-2	3.655223538542233e-1	3.6584993044594183e-1
1.3813813813813814e1	-5.976471096865457e-1	-1.1542974999999993e-1	-9.690377126105032e-2	3.6643160982752054e-1	3.6678760968654567e-1
1.4414414414414415e1	-5.985888192916824e-1	-1.1542975000000008e-1	-9.613482407953497e-2	3.673438947575907e-1	3.6772931929168257e-1
1.5015015015015015e1	-5.995345357410341e-1	-1.1542975000000015e-1	-9.536890304544701e-2	3.6825920583508837e-1	3.686750357410341e-1
1.5615615615615615e1	-6.004842355980263e-1	-1.1542974999999986e-1	-9.460600523451541e-2	3.6917754013574267e-1	3.696247355980264e-1
1.6216216216216218e1	-6.014378955109427e-1	-1.1542975000000008e-1	-9.384612760810938e-2	3.700988946209222e-1	3.7057839551094257e-1
1.6816816816816818e1	-6.023954922139994e-1	-1.1542975000000001e-1	-9.308926701382596e-2	3.7102326613822445e-1	3.715359922139993e-1
1.741741741741742e1	-6.033570025283898e-1	-1.154297500000002e-1	-9.233542018609772e-2	3.7195065142208195e-1	3.724975025283898e-1
1.801801801801802e1	-6.043224033632927e-1	-1.1542974999999989e-1	-9.158458374682063e-2	3.7288104709439046e-1	3.734629033632929e-1
1.861861861861862e1	-6.052916717168492e-1	-1.1542974999999986e-1	-9.083675420600254e-2	3.738144496651579e-1	3.744321717168492e-1
1.921921921921922e1	-6.062647846771047e-1	-1.1542975000000011e-1	-9.009192796243067e-2	3.7475085553317183e-1	3.7540528467710466e-1
1.981981981981982e1	-6.07241719422919e-1	-1.1542974999999984e-1	-8.935010130435889e-2	3.7569026098668573e-1	3.7638221942291933e-1
2.042042042042042e1	-6.082224532248474e-1	-1.1542975000000005e-1	-8.861127041021508e-2	3.7663266220412756e-1	3.773629532248475e-1
2.102102102102102e1	-6.09206963445984e-1	-1.154297500000002e-1	-8.787543134932502e-2	3.775780552548232e-1	3.7834746344598374e-1
2.162162162162162e1	-6.101952275427793e-1	-1.1542975000000019e-1	-8.714258008265736e-2	3.785264360997412e-1	3.793357275427798e-1
2.222222222222222e1	-6.111872230658278e-1	-1.1542974999999997e-1	-8.641271246358519e-2	3.794778005922547e-1	3.8032772306582774e-1
2.2822822822822822e1	-6.121829276606179e-1	-1.1542975000000011e-1	-8.568582423866664e-2	3.804321444789219e-1	3.8132342766061766e-1
