Magnetic field [G]	Energies [GHz]
0e0	-1.5213333333333337e-1	-1.5213333333333337e-1	7.606666666666667e-2	7.606666666666667e-2	7.606666666666669e-2	7.606666666666669e-2
1.001001001001001e0	-1.5260795666458848e-1	-1.5167400140803067e-1	7.466563990701194e-2	7.5607334741364e-2	7.654128999792185e-2	7.746769342632139e-2
2.002002002002002e0	-1.5309768217762368e-1	-1.512301470380026e-1	7.326461314735723e-2	7.516348037133595e-2	7.703101551095703e-2	7.88687201859761e-2
3.0030030030030033e0	-1.5360231788535159e-1	-1.5080195298116889e-1	7.18635863877025e-2	7.473528631450223e-2	7.753565121868487e-2	8.026974694563083e-2
4.004004004004004e0	-1.5412166934419722e-1	-1.5038959828384402e-1	7.046255962804779e-2	7.432293161717735e-2	7.805500267753057e-2	8.167077370528554e-2
5.005005005005005e0	-1.546555399542012e-1	-1.4999325795791957e-1	6.906153286839307e-2	7.392659129125294e-2	7.858887328753451e-2	8.307180046494025e-2
6.0060060060060065e0	-1.5520373125205716e-1	-1.496131026565366e-1	6.766050610873835e-2	7.354643598986996e-2	7.91370645853905e-2	8.447282722459498e-2
7.007007007007008e0	-1.5576604319642245e-1	-1.492492983494137e-1	6.625947934908363e-2	7.318263168274704e-2	7.969937652975577e-2	8.58738539842497e-2
8.008008008008009e0	-1.563422744449124e-1	-1.489020059990567e-1	6.48584525894289e-2	7.283533933239e-2	8.027560777824572e-2	8.727488074390442e-2
9.00900900900901e0	-1.5693222262226816e-1	-1.4857138123912522e-1	6.34574258297742e-2	7.250471457245854e-2	8.086555595560149e-2	8.867590750355912e-2
1.001001001001001e1	-1.5753568457925743e-1	-1.4825757405627735e-1	6.205639907011948e-2	7.219090738961068e-2	8.146901791259077e-2	9.007693426321385e-2
1.1011011011011012e1	-1.5815245664194136e-1	-1.47960728476848e-1	6.065537231046476e-2	7.189406181018133e-2	8.208578997527473e-2	9.147796102286856e-2
1.2012012012012013e1	-1.5878233485100843e-1	-1.4768098225974605e-1	5.9254345550810036e-2	7.161431559307935e-2	8.271566818434178e-2	9.287898778252329e-2
1.3013013013013014e1	-1.5942511519094077e-1	-1.4741846659697128e-1	5.7853318791155316e-2	7.135179993030462e-2	8.335844852427411e-2	9.4280014542178e-2
1.4014014014014016e1	-1.6008059380884318e-1	-1.4717330582316104e-1	5.6452292031500595e-2	7.110663915649439e-2	8.401392714217651e-2	9.568104130183273e-2
1.5015015015015017e1	-1.6074856722282016e-1	-1.4694561713557208e-1	5.505126527184588e-2	7.087895046890545e-2	8.468190055615353e-2	9.708206806148745e-2
1.6016016016016017e1	-1.6142883251984552e-1	-1.4673551032588944e-1	5.365023851219117e-2	7.066884365922277e-2	8.536216585317886e-2	9.848309482114218e-2
1.7017017017017018e1	-1.6212118754311539e-1	-1.4654308752522674e-1	5.224921175253645e-2	7.047642085856005e-2	8.605452087644876e-2	9.988412158079688e-2
1.801801801801802e1	-1.6282543106892824e-1	-1.4636844296364565e-1	5.0848184992881726e-2	7.0301776296979e-2	8.675876440226156e-2	1.0128514834045162e-1
1.901901901901902e1	-1.635413629731733e-1	-1.4621166274547107e-1	4.944715823322702e-2	7.01449960788044e-2	8.747469630650663e-2	1.0268617510010632e-1
2.002002002002002e1	-1.6426878438755246e-1	-1.4607282464161714e-1	4.804613147357229e-2	7.000615797495047e-2	8.82021177208858e-2	1.0408720185976103e-1
2.1021021021021024e1	-1.6500749784569352e-1	-1.4595199790006622e-1	4.664510471391757e-2	6.988533123339954e-2	8.894083117902683e-2	1.0548822861941576e-1
2.2022022022022025e1	-1.6575730741934502e-1	-1.4584924307555927e-1	4.524407795426285e-2	6.978257640889263e-2	8.969064075267835e-2	1.0688925537907047e-1
2.3023023023023026e1	-1.6651801884487208e-1	-1.457646118794602e-1	4.3843051194608136e-2	6.969794521279352e-2	9.045135217820541e-2	1.082902821387252e-1
2.4024024024024026e1	-1.6728943964029416e-1	-1.4569814705065265e-1	4.2442024434953415e-2	6.963148038398595e-2	9.122277297362753e-2	1.0969130889837991e-1
2.5025025025025027e1	-1.6807137921313064e-1	-1.4564988224821673e-1	4.10409976752987e-2	6.958321558155005e-2	9.200471254646396e-2	1.1109233565803464e-1
2.6026026026026027e1	-1.6886364895933303e-1	-1.4561984196650937e-1	3.963997091564398e-2	6.955317529984266e-2	9.279698229266636e-2	1.1249336241768935e-1
2.7027027027027028e1	-1.696660623536027e-1	-1.4560804147314632e-1	3.823894415598927e-2	6.954137480647966e-2	9.359939568693604e-2	1.1389438917734408e-1
2.8028028028028032e1	-1.7047843503139984e-1	-1.456144867702527e-1	3.683791739633454e-2	6.954782010358604e-2	9.441176836473318e-2	1.152954159369988e-1
2.9029029029029033e1	-1.7130058486296168e-1	-1.4563917457920886e-1	3.5436890636679826e-2	6.957250791254219e-2	9.523391819629501e-2	1.1669644269665351e-1
3.0030030030030034e1	-1.7213233201965392e-1	-1.4568209234898422e-1	3.4035863877025105e-2	6.961542568231754e-2	9.606566535298725e-2	1.1809746945630821e-1
3.1031031031031034e1	-1.7297349903298306e-1	-1.4574321828800835e-1	3.2634837117370384e-2	6.967655162134168e-2	9.69068323663164e-2	1.1949849621596294e-1
3.2032032032032035e1	-1.7382391084660037e-1	-1.4582252141939098e-1	3.1233810357715667e-2	6.97558547527243e-2	9.775724417993371e-2	1.2089952297561765e-1
3.3033033033033036e1	-1.7468339486162826e-1	-1.4591996165916543e-1	2.9832783598060946e-2	6.985329499249876e-2	9.861672819496159e-2	1.2230054973527238e-1
