magnetic_field	energies
0e0	-1.270146686399402e0	-1.2239920455796418e0	-1.0932470140553372e0	-1.0170869071697892e0	-9.671380342222651e-1	-9.228400000000001e-1	3.404871896157979e-2	6.64968264808963e-2	2.330447206216676e-1	3.051021262685345e-1	3.407582950937577e-1
4.004004004004004e-1	-1.270241461045289e0	-1.2242317013202346e0	-1.093317133849703e0	-1.0177062489549549e0	-9.677384889441281e-1	-9.234001702263642e-1	3.4149948999667105e-2	6.675999178658547e-2	2.3295291619760067e-1	3.053614511567615e-1	3.4129007479233747e-1
8.008008008008008e-1	-1.2703384892462284e0	-1.2244730347160229e0	-1.0933881250784374e0	-1.018323743010872e0	-9.683380679039745e-1	-9.239598555295e-1	3.424929578185363e-2	6.702109701254003e-2	2.328575890602072e-1	3.056222219912274e-1	3.4182946882375537e-1
1.2012012012012012e0	-1.2704377878722597e0	-1.2247160443330896e0	-1.0934600036703792e0	-1.0189393724751188e0	-9.689367603194983e-1	-9.245190499247838e-1	3.434678422373011e-2	6.728012936311258e-2	2.3275877123039193e-1	3.0588454894715345e-1	3.4237632060756257e-1
1.6016016016016017e0	-1.2705393739400919e0	-1.2249607285363153e0	-1.093532785899732e0	-1.019553120310218e0	-9.695345553379561e-1	-9.250777473846618e-1	3.444243888299042e-2	6.75370765633888e-2	2.3265649515615247e-1	3.0614853985218077e-1	3.4293047532336707e-1
2.002002002002002e0	-1.2706432646125718e0	-1.225207085487306e0	-1.0936064883933998e0	-1.0201649692986694e0	-9.701314420362723e-1	-9.256359418388102e-1	3.4536283962951865e-2	6.779192685516884e-2	2.3255079369468806e-1	3.0641429999774833e-1	3.4349178011785303e-1
2.4024024024024024e0	-1.2707494771980457e0	-1.2254551131424047e0	-1.0936811281383922e0	-1.0207749020378731e0	-9.70727409421158e-1	-9.261936271742567e-1	3.4628343316235204e-2	6.804466899271407e-2	2.3244170009408988e-1	3.0668193197579036e-1	3.4406008428695617e-1
2.802802802802803e0	-1.2708580291496037e0	-1.2257048092508323e0	-1.093756722489308e0	-1.0213829009349513e0	-9.71322446429265e-1	-9.267507972355626e-1	3.471864044857818e-2	6.829529223828185e-2	2.323292479746504e-1	3.069515355394574e-1	3.44635239434492e-1
3.2032032032032034e0	-1.2709689380642093e0	-1.2259561713529195e0	-1.0938332891759066e0	-1.0219889482014946e0	-9.719165419273711e-1	-9.273074458249766e-1	3.4807198522778096e-2	6.854378635745767e-2	2.3221347130981754e-1	3.0722320748645493e-1	3.452170996085799e-1
3.6036036036036037e0	-1.2710822216816864e0	-1.2262091967784825e0	-1.093910846310713e0	-1.0225930258481815e0	-9.725096847125748e-1	-9.27863566702616e-1	3.489404036273785e-2	6.879014161431042e-2	2.3209440440683243e-1	3.074970415635775e-1	3.458055214172854e-1
4.004004004004004e0	-1.271197897883586e0	-1.2264638826452992e0	-1.093989412396714e0	-1.0231951156793522e0	-9.731018635125361e-1	-9.284191535866484e-1	3.4979188457602686e-2	6.903434876637447e-2	2.3197208188707238e-1	3.0777312839096277e-1	3.4640036412488445e-1
4.404404404404405e0	-1.271315984691901e0	-1.2267202258577343e0	-1.0940690063350664e0	-1.0237951992874732e0	-9.736930669857368e-1	-9.289742001534846e-1	3.506266496597597e-2	6.927639905948263e-2	2.3184653866616003e-1	3.0805155540461604e-1	3.470014897301946e-1
4.804804804804805e0	-1.271436500267642e0	-1.2269782231055006e0	-1.0941496474328722e0	-1.0243932580475474e0	-9.742832837217696e-1	-9.295287000379848e-1	3.514449172020289e-2	6.951628422245669e-2	2.3171780993385563e-1	3.0833240681574603e-1	3.476087630283708e-1
5.205205205205205e0	-1.271559462909269e0	-1.227237870862574e0	-1.0942313554109544e0	-1.0249892731114638e0	-9.748725022416727e-1	-9.300826468336713e-1	3.522469023069986e-2	6.975399646166822e-2	2.3158593113378542e-1	3.086157635854958e-1	3.482220516575461e-1
5.605605605605606e0	-1.2716848910509448e0	-1.227499165386245e0	-1.0943141504116716e0	-1.0255832254022863e0	-9.754607109982677e-1	-9.306360340929416e-1	3.5303281690336835e-2	6.998952845548562e-2	2.3145093794304833e-1	3.0890170341369316e-1	3.4884122613166046e-1
6.0060060060060065e0	-1.2718128032606424e0	-1.227762102716345e0	-1.094398053006711e0	-1.026175095608506e0	-9.76047898376564e-1	-9.311888553273135e-1	3.538028697884228e-2	7.022287334861342e-2	2.3131286625173045e-1	3.0919030074028886e-1	3.4946615986074897e-1
6.406406406406407e0	-1.2719432182380799e0	-1.2280266786746494e0	-1.094483084204879e0	-1.0267648641782579e0	-9.766340526941689e-1	-9.317411040076623e-1	3.5455726667238674e-2	7.045402474633478e-2	2.3117175214238772e-1	3.094816267582202e-1	3.5009672915993034e-1
6.806806806806807e0	-1.2720761548124735e0	-1.2282928888644178e0	-1.0945692654598722e0	-1.0273525113135333e0	-9.772191622017468e-1	-9.322927735644597e-1	3.5529621022285525e-2	7.06829767086678e-2	2.3102763186951997e-1	3.0977574943648933e-1	3.507328132482393e-1
7.207207207207207e0	-1.2722116319401124e0	-1.2285607286701872e0	-1.0946566186779902e0	-1.0279380169643824e0	-9.778032150835196e-1	-9.328438573880647e-1	3.560199001093839e-2	7.09097237444437e-2	2.3088054183909756e-1	3.100727335523287e-1	3.5137429423841815e-1
7.6076076076076085e0	-1.2723496687017435e0	-1.2288301932576702e0	-1.0947451662257919e0	-1.028521360823114e0	-9.783861994577792e-1	-9.333943488289667e-1	3.567285330479625e-2	7.113426080531643e-2	2.307305185881603e-1	3.1037264073137066e-1	3.520210571186689e-1
