magnetic_field	energies
0e0	-5.714666666666669e-1	-5.714666666666669e-1	-5.714666666666668e-1	-5.714666666666668e-1	-5.714666666666668e-1	-5.714666666666668e-1	-5.714666666666668e-1	-5.714666666666668e-1	-5.714666666666667e-1	-5.714666666666667e-1	7.143333333333334e-1	7.143333333333335e-1	7.143333333333335e-1	7.143333333333335e-1	7.143333333333335e-1	7.143333333333335e-1	7.143333333333335e-1	7.143333333333335e-1
1.001001001001001e0	-5.728676934263215e-1	-5.72556956218784e-1	-5.72246069002406e-1	-5.719350315597265e-1	-5.716238436727584e-1	-5.713125051229874e-1	-5.710010156913692e-1	-5.706893751583287e-1	-5.703775833037574e-1	-5.700656399070121e-1	7.132442499704242e-1	7.135560418249955e-1	7.138676823580359e-1	7.141791717896541e-1	7.14490510339425e-1	7.148016982263932e-1	7.151127356690727e-1	7.154236228854508e-1
2.002002002002002e0	-5.742687201859762e-1	-5.736484458441617e-1	-5.730275745071282e-1	-5.724061044477808e-1	-5.717840339306816e-1	-5.711613612119919e-1	-5.705380845394167e-1	-5.699142021521462e-1	-5.692897122807977e-1	-5.686646131473574e-1	7.121563789474643e-1	7.12780868818813e-1	7.134047512060835e-1	7.140280278786587e-1	7.146507005973483e-1	7.152727711144474e-1	7.15894241173795e-1	7.165151125108283e-1
3.0030030030030033e0	-5.756697469456309e-1	-5.747411294614664e-1	-5.738111755389016e-1	-5.728798793911889e-1	-5.719472351896984e-1	-5.710132370634924e-1	-5.700778790988947e-1	-5.691411553390547e-1	-5.682030597835026e-1	-5.672635863877026e-1	7.110697264501694e-1	7.120078220057214e-1	7.129445457655615e-1	7.138799037301591e-1	7.148139018563652e-1	7.157465460578556e-1	7.166778422055684e-1	7.176077961281327e-1
4.004004004004004e0	-5.770707737052856e-1	-5.75835001023798e-1	-5.7459686447243e-1	-5.733563504337477e-1	-5.721134451590706e-1	-5.708681347666935e-1	-5.696204052400785e-1	-5.683702424260141e-1	-5.671176320327412e-1	-5.658625596280479e-1	7.099842986994079e-1	7.112369090926808e-1	7.124870719067452e-1	7.137348014333602e-1	7.149801118257373e-1	7.162230171004146e-1	7.174635311390967e-1	7.187016676904646e-1
5.005005005005005e0	-5.784718004649403e-1	-5.769300545185144e-1	-5.753846336991993e-1	-5.738355116030016e-1	-5.722826615082158e-1	-5.707260563700476e-1	-5.691656688151181e-1	-5.67601471135848e-1	-5.660334352847166e-1	-5.644615328683932e-1	7.089001019513832e-1	7.104681378025148e-1	7.120323354817849e-1	7.135927230367142e-1	7.151493281748825e-1	7.167021782696682e-1	7.182513003658662e-1	7.197967211851809e-1
6.0060060060060065e0	-5.79872827224595e-1	-5.78026283967048e-1	-5.761744756276196e-1	-5.743173569105515e-1	-5.724548818668689e-1	-5.705870038811117e-1	-5.687136756577246e-1	-5.668348492070824e-1	-5.649504758311469e-1	-5.630605061087385e-1	7.078171424978136e-1	7.097015158737493e-1	7.115803423243913e-1	7.134536705477785e-1	7.153215485335355e-1	7.171840235772181e-1	7.190411422942861e-1	7.208929506337148e-1
7.007007007007008e0	-5.812738539842498e-1	-5.791236834247319e-1	-5.76966382683165e-1	-5.748018803523636e-1	-5.726301038252443e-1	-5.704509792664089e-1	-5.682644315828542e-1	-5.660703843937783e-1	-5.638687599994461e-1	-5.616594793490837e-1	7.067354266661126e-1	7.08937051060445e-1	7.11131098249521e-1	7.133176459330756e-1	7.15496770491911e-1	7.176685470190302e-1	7.198330493498318e-1	7.219903500913983e-1
8.008008008008009e0	-5.826748807439045e-1	-5.802222469806168e-1	-5.777603473085133e-1	-5.752890759090751e-1	-5.728083249342012e-1	-5.703179844512895e-1	-5.678179423863926e-1	-5.653080844653634e-1	-5.627882941529041e-1	-5.60258452589429e-1	7.056549608195709e-1	7.081747511320301e-1	7.106846090530592e-1	7.131846511179563e-1	7.156749916008679e-1	7.181557425757419e-1	7.206270139751801e-1	7.230889136472834e-1
9.00900900900901e0	-5.840759075035592e-1	-5.813219687572978e-1	-5.78556361963679e-1	-5.757789375463025e-1	-5.729895427054111e-1	-5.701880213197976e-1	-5.673742138448373e-1	-5.645479572064612e-1	-5.617090846908697e-1	-5.588574258297743e-1	7.045757513575364e-1	7.074146238731278e-1	7.10240880511504e-1	7.130546879864644e-1	7.158562093720776e-1	7.186456042129692e-1	7.214230286303458e-1	7.241886354239646e-1
1.001001001001001e1	-5.854769342632139e-1	-5.824228429107349e-1	-5.793544191261459e-1	-5.76271459214944e-1	-5.731737546115275e-1	-5.70061091714539e-1	-5.66933251714981e-1	-5.63790010416716e-1	-5.606311380489301e-1	-5.574563990701196e-1	7.034978047155966e-1	7.066566770833829e-1	7.097999183816476e-1	7.129277583812057e-1	7.160404212781943e-1	7.191381258816107e-1	7.222210857928125e-1	7.252895095774016e-1
1.1011011011011012e1	-5.868779610228687e-1	-5.835248636300755e-1	-5.801545112909969e-1	-5.767666348514866e-1	-5.733609580863589e-1	-5.699371974365519e-1	-5.664950617335938e-1	-5.630342519106148e-1	-5.595544606990932e-1	-5.560553723104648e-1	7.024211273657599e-1	7.059009185772815e-1	7.093617284002603e-1	7.128038641032185e-1	7.162276247530257e-1	7.196333015181534e-1	7.230211779576639e-1	7.263915302967421e-1
